Data,open,high,low,close,vol,avg_temp_leba,short_size
2016-01-15,22.3,22.44,21.63,21.65,178068.0,-1.1,0.62
2016-01-18,21.23,21.63,21.03,21.4,110806.0,-6.1,0.62
2016-01-19,21.63,21.63,21.43,21.45,71181.0,-5.9,0.62
2016-01-20,21.3,21.3,20.7,20.95,106949.0,-6.4,0.62
2016-01-21,20.89,21.3,20.7,20.91,203861.0,-3.2,0.62
2016-01-22,21.2,21.5,21.0,21.25,102598.0,-4.8,0.62
2016-01-25,21.53,22.6,21.39,22.54,210910.0,1.7,0.62
2016-01-26,22.38,23.15,22.1,23.04,536683.0,3.3,0.62
2016-01-27,23.05,23.5,23.01,23.04,195175.0,7.3,0.62
2016-01-28,22.88,23.35,22.56,23.2,63393.0,7.4,0.62
2016-01-29,23.2,23.35,22.95,23.09,171936.0,4.4,0.62
2016-02-01,23.31,23.31,22.85,23.09,155688.0,3.8,0.62
2016-02-02,23.1,23.2,22.84,22.85,133710.0,9.5,0.62
2016-02-03,22.85,23.06,22.65,22.65,164000.0,5.8,0.62
2016-02-04,22.8,22.8,22.31,22.5,121542.0,2.4,0.62
2016-02-05,22.52,22.74,22.39,22.51,154378.0,1.6,0.62
2016-02-08,22.6,22.71,21.71,22.19,158417.0,6.1,0.62
2016-02-09,22.04,22.19,21.82,22.0,82921.0,8.4,0.62
2016-02-10,22.0,22.9,21.97,22.21,143109.0,5.6,0.62
2016-02-11,22.46,22.46,21.45,21.6,156612.0,1.7,0.62
2016-02-12,21.6,22.09,21.45,21.51,148938.0,3.3,0.62
2016-02-15,21.9,22.02,21.41,21.61,125969.0,5.1,0.62
2016-02-16,21.73,21.73,20.76,21.21,147306.0,3.7,0.62
2016-02-17,21.03,21.98,21.03,21.81,149031.0,1.9,0.62
2016-02-18,22.0,22.85,21.6,22.14,218350.0,6.5,0.62
2016-02-19,22.2,22.7,22.16,22.3,142750.0,3.4,0.59
2016-02-22,22.5,23.2,22.5,23.14,261069.0,8.1,0.59
2016-02-23,23.1,23.68,23.01,23.12,226656.0,3.4,0.59
2016-02-24,23.12,23.48,22.51,22.8,151948.0,2.6,0.6
2016-02-25,22.83,23.05,22.16,22.4,147822.0,1.1,0.6
2016-02-26,22.65,23.14,22.5,23.0,153761.0,-0.8,0.6
2016-02-29,23.34,23.34,22.71,23.0,66466.0,1.0,0.6
2016-03-01,22.86,23.27,22.74,23.0,161220.0,0.7,0.6
2016-03-02,23.2,23.35,23.03,23.15,160978.0,1.4,0.6
2016-03-03,23.15,24.15,23.15,24.0,580878.0,4.3,0.6
2016-03-04,24.12,24.88,24.06,24.76,454425.0,2.6,0.6
2016-03-07,24.7,25.01,24.5,24.53,251523.0,4.1,0.6
2016-03-08,24.15,24.6,23.65,24.04,246766.0,4.8,0.6
2016-03-09,24.04,24.04,22.9,24.0,385446.0,3.8,0.6
2016-03-10,24.04,25.08,23.5,24.9,1007713.0,4.9,0.6
2016-03-11,24.9,24.98,24.4,24.85,400009.0,5.4,0.55
2016-03-14,24.96,24.96,24.11,24.19,115580.0,1.7,0.55
2016-03-15,23.75,24.2,23.56,24.2,194574.0,2.5,0.55
2016-03-16,23.75,24.55,23.75,24.43,103927.0,4.3,0.55
2016-03-17,24.55,24.85,24.4,24.85,152617.0,4.8,0.55
2016-03-18,24.8,24.98,24.66,24.98,261764.0,4.8,0.55
2016-03-21,24.95,24.97,24.7,24.94,123472.0,5.9,0.55
2016-03-22,24.9,24.98,24.6,24.89,191526.0,4.1,0.55
2016-03-23,24.9,24.96,24.7,24.7,78403.0,2.7,0.55
2016-03-24,24.8,24.98,24.7,24.98,101358.0,1.8,0.55
2016-03-29,24.98,25.7,24.9,25.5,307910.0,7.1,0.55
2016-03-30,25.6,26.0,25.4,26.0,379959.0,8.4,0.55
2016-03-31,26.0,26.05,25.63,25.7,349348.0,8.4,0.55
2016-04-01,25.6,25.6,25.33,25.35,120605.0,5.6,0.55
2016-04-04,25.45,26.19,25.26,26.19,141235.0,13.9,0.55
2016-04-05,26.15,26.15,25.53,25.85,191174.0,16.3,0.55
2016-04-06,25.85,25.9,25.64,25.69,143207.0,11.9,0.55
2016-04-07,25.9,25.9,25.7,25.86,141993.0,12.7,0.55
2016-04-08,25.8,26.0,25.62,26.0,611308.0,10.5,0.55
2016-04-11,26.0,26.0,25.74,25.89,299822.0,11.2,0.55
2016-04-12,25.85,25.85,25.29,25.29,115027.0,11.9,0.55
2016-04-13,25.2,25.6,25.03,25.6,127886.0,12.3,0.55
2016-04-14,25.59,25.89,25.43,25.87,252612.0,9.9,0.0
2016-04-15,25.85,25.93,25.72,25.85,71930.0,9.0,0.0
2016-04-18,25.9,25.95,25.69,25.95,75995.0,9.9,0.0
2016-04-19,25.95,26.0,25.86,26.0,172567.0,8.4,0.0
2016-04-20,25.99,26.0,25.89,25.99,58076.0,7.1,0.0
2016-04-21,25.9,26.09,25.4,25.79,205674.0,8.7,0.0
2016-04-22,25.8,25.94,25.43,25.94,83384.0,8.5,0.0
2016-04-25,25.98,25.98,25.6,25.89,58336.0,6.0,0.0
2016-04-26,25.79,25.95,25.45,25.45,96352.0,8.1,0.0
2016-04-27,25.68,25.68,25.24,25.36,118104.0,6.4,0.0
2016-04-28,25.55,25.88,25.3,25.67,341632.0,7.6,0.0
2016-04-29,25.5,25.78,25.35,25.45,26946.0,9.4,0.0
2016-05-02,25.42,25.73,25.15,25.3,51035.0,12.7,0.0
2016-05-04,25.3,25.57,25.16,25.16,111542.0,15.0,0.0
2016-05-05,25.17,25.34,23.93,24.59,217026.0,16.1,0.0
2016-05-06,24.55,24.59,24.0,24.35,183507.0,16.7,0.0
2016-05-09,24.4,25.0,24.4,24.5,164640.0,16.2,0.0
2016-05-10,24.7,25.0,24.6,25.0,165814.0,17.4,0.0
2016-05-11,25.14,25.82,25.05,25.6,150936.0,17.5,0.0
2016-05-12,25.6,25.79,25.27,25.6,167305.0,18.2,0.0
2016-05-13,25.46,25.75,25.34,25.69,313395.0,17.4,0.0
2016-05-16,25.7,26.7,25.69,26.7,308992.0,8.4,0.0
2016-05-17,26.7,26.7,25.9,26.38,134322.0,7.9,0.0
2016-05-18,26.39,27.04,26.0,27.04,424168.0,10.3,0.0
2016-05-19,27.04,27.1,26.6,26.72,74152.0,12.3,0.0
2016-05-20,26.69,26.99,26.22,26.53,211365.0,15.2,0.0
2016-05-23,26.5,26.98,26.43,26.97,76982.0,21.4,0.0
2016-05-24,26.91,26.99,26.45,26.68,107500.0,21.6,0.0
2016-05-25,26.68,27.1,26.68,27.1,396853.0,17.9,0.0
2016-05-27,27.18,27.76,27.15,27.75,259000.0,18.6,0.0
2016-05-30,27.75,28.16,26.59,26.59,304777.0,23.3,0.0
2016-05-31,26.59,26.97,26.5,26.84,199710.0,23.3,0.0
2016-06-01,26.84,26.84,25.98,26.3,276446.0,19.9,0.0
2016-06-02,26.2,26.8,26.05,26.66,141792.0,20.8,0.0
2016-06-03,26.41,26.79,26.0,26.55,104312.0,19.1,0.0
2016-06-06,26.2,27.2,26.2,27.2,177602.0,15.1,0.0
2016-06-07,27.19,27.85,27.14,27.79,249533.0,15.0,0.0
2016-06-08,27.37,27.8,26.96,27.4,149854.0,18.7,0.0
2016-06-09,27.58,27.69,27.3,27.69,84441.0,16.6,0.0
2016-06-10,27.7,27.8,26.98,27.3,121524.0,15.2,0.0
2016-06-13,27.35,27.35,26.21,26.79,131994.0,18.4,0.0
2016-06-14,26.86,26.94,25.22,25.9,247139.0,18.5,0.0
2016-06-15,25.85,27.0,25.11,26.86,391794.0,18.4,0.0
2016-06-16,26.97,26.97,26.35,26.4,463889.0,20.2,0.0
2016-06-17,26.4,27.0,26.01,26.7,132958.0,21.6,0.0
2016-06-20,26.7,27.07,26.42,26.51,236224.0,18.6,0.0
2016-06-21,26.45,26.9,26.45,26.79,186875.0,18.9,0.0
